name,tag,expected,outcome,wall_ms,verdict,detail
function-default-variable-fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
function-default-variable-mult,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-default-variable-obj,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-keyword-argument,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-keyword-repeated-fail,CORE,^SyntaxError: Keyword argument repeated:x$,FAIL,52,SUCCESSFUL,expected=^SyntaxError: Keyword argument repeated:x$
function-option,CORE,,UNKNOWN,53,SUCCESSFUL,no expected regex
function-option-fail,CORE,,UNKNOWN,50,SUCCESSFUL,no expected regex
function-params-fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
function-return,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-return-fail,CORE,^VERIFICATION FAILED$,PASS,55,FAILED,^VERIFICATION FAILED$
function-return-if-fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
function-undef-fail,CORE,,UNKNOWN,50,FAILED,no expected regex
gb-2812,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
gb-2893,CORE,^VERIFICATION SUCCESSFUL$,PASS,84,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
gb-2915,CORE,^VERIFICATION SUCCESSFUL$,DIFF,114,FAILED,expected=^VERIFICATION SUCCESSFUL$
getrandbits,THOROUGH,^VERIFICATION SUCCESSFUL$,DIFF,106,FAILED,expected=^VERIFICATION SUCCESSFUL$
getrandbits_fail,CORE,^VERIFICATION FAILED$,PASS,103,FAILED,^VERIFICATION FAILED$
github_1964,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2012,CORE,^VERIFICATION SUCCESSFUL$,PASS,80,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2012_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,65,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2224-fail,THOROUGH,^VERIFICATION FAILED$,DIFF,87,SUCCESSFUL,expected=^VERIFICATION FAILED$
