# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5195715323
#
# Children      Self  Command  Shared Object            Symbol                                                                                                                                                                                         ...
# ........  ........  .......  .......................  ..................................................................................................................................................................................................
#
     3.99%     0.00%  cbmc     cbmc                     [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) (inlined)
     3.88%     0.00%  cvc5     cvc5                     [.] 0x00000000006c4390
     3.86%     0.79%  cbmc     libstdc++.so.6.0.33      [.] std::istream::read(char*, long)
     3.81%     0.00%  cbmc     cbmc                     [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) (inli...
     3.79%     0.00%  cbmc     cbmc                     [.] goto_symext::parameter_assignments(dstringt const&, goto_functiont const&, goto_symex_statet&, std::vector<exprt, std::allocator<exprt> > const&)
     3.79%     0.00%  cbmc     cbmc                     [.] multi_path_symex_only_checkert::~multi_path_symex_only_checkert()
     3.79%     0.00%  cbmc     cbmc                     [.] symex_target_equationt::~symex_target_equationt() (inlined)
     3.72%     0.00%  cbmc     cbmc                     [.] void std::vector<jsont, std::allocator<jsont> >::_M_realloc_insert<jsont const&>(__gnu_cxx::__normal_iterator<jsont*, std::vector<jsont, std::allocator<jsont> > >, jsont const&)
     3.63%     0.18%  cbmc     cbmc                     [.] build_ssa_identifier_rec(exprt const&, dstringt const&, dstringt const&, dstringt const&, std::ostream&, std::ostream&)
     3.62%     0.00%  cbmc     cbmc                     [.] cbmc_parse_optionst::get_goto_program(goto_modelt&, optionst const&, cmdlinet const&, ui_message_handlert&)
     3.57%     0.00%  cbmc     cbmc                     [.] renamedt<ssa_exprt, (levelt)3> goto_symex_statet::set_indices<(levelt)3>(ssa_exprt, namespacet const&)
     3.46%     0.00%  cbmc     cbmc                     [.] irept::~irept() (inlined)
     3.46%     0.00%  cbmc     cbmc                     [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::~sharing_treet() (inlined)
