# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5474956437
#
# Children      Self  Command  Shared Object            Symbol                                                                                                                                                                                         ...
# ........  ........  .......  .......................  ..................................................................................................................................................................................................
#
     9.08%     0.00%  cbmc     cbmc                     [.] symex_target_equationt::convert_without_assertions(decision_proceduret&)
     8.88%     0.14%  cbmc     cbmc                     [.] cnft::lxor(literalt, literalt)
     8.88%     0.00%  cbmc     cbmc                     [.] cnft::lequal(literalt, literalt)
     8.88%     0.00%  cbmc     cbmc                     [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > co...
     8.88%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::allocate(unsigned long, void const*) (...
     8.88%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > > >::allocate(std::alloca...
     8.83%     0.00%  cbmc     cbmc                     [.] symex_assignt::assign_from_struct(ssa_exprt const&, expr_skeletont const&, struct_exprt const&, std::vector<exprt, std::allocator<exprt> > const&)
     8.79%     0.00%  cbmc     libc.so.6                [.] 0x00007afd5022a1c9
     8.74%     0.00%  cbmc     cbmc                     [.] prop_conv_solvert::handle(exprt const&)
     8.74%     0.10%  cbmc     cbmc                     [.] cnft::gate_xor(literalt, literalt, literalt)
     8.71%     0.00%  cbmc     cbmc                     [.] boolbvt::convert_member(member_exprt const&)
     8.55%     0.00%  cbmc     cbmc                     [.] boolbvt::handle(exprt const&)
     8.48%     0.05%  cbmc     cbmc                     [.] symex_target_equationt::convert_goto_instructions(decision_proceduret&)
     8.47%     0.00%  cbmc     cbmc                     [.] prepare_property_decider(std::map<dstringt, property_infot, std::less<dstringt>, std::allocator<std::pair<dstringt const, property_infot> > >&, symex_target_equationt&, goto_symex_propert...
     8.06%     0.05%  cbmc     cbmc                     [.] merge_irept::operator()(irept&)
     8.06%     0.00%  cbmc     cbmc                     [.] symex_target_equationt::merge_ireps(SSA_stept&)
     7.97%     0.00%  cbmc     cbmc                     [.] symex_target_equationt::assignment(exprt const&, ssa_exprt const&, exprt const&, exprt const&, exprt const&, symex_targett::sourcet const&, symex_targett::assignment_typet)
     7.84%     1.37%  cbmc     cbmc                     [.] merge_irept::merged(irept const&)
     7.62%     0.00%  cbmc     cbmc                     [.] field_sensitivityt::field_assignments(namespacet const&, goto_symex_statet&, ssa_exprt const&, exprt const&, symex_targett&, bool) const
     7.27%     0.00%  cbmc     cbmc                     [.] field_sensitivityt::field_assignments_rec(namespacet const&, goto_symex_statet&, exprt const&, exprt const&, symex_targett&, bool) const
     7.10%     0.00%  cbmc     cbmc                     [.] python_convertert::convert_class_def(jsont const&)
     7.04%     0.00%  cbmc     cbmc                     [.] goto_symext::merge_gotos(goto_symex_statet&)
     6.99%     0.00%  cbmc     cbmc                     [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > co...
     6.99%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::deallocate(std::_Rb_tree_node<std::pai...
     6.99%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > > >::deallocate(std::allo...
     6.85%     0.23%  cbmc     cbmc                     [.] field_sensitivityt::apply(namespacet const&, goto_symex_statet&, exprt, bool) const
     6.76%     0.00%  cbmc     cbmc                     [.] python_convertert::convert_type_annotation(jsont const&)
     6.65%     0.00%  cbmc     cbmc                     [.] goto_symext::merge_goto(symex_targett::sourcet const&, goto_statet&&, goto_symex_statet&)
     6.65%     0.00%  cbmc     cbmc                     [.] symex_bmct::merge_goto(symex_targett::sourcet const&, goto_statet&&, goto_symex_statet&)
     6.49%     0.00%  cbmc     cbmc                     [.] goto_symext::phi_function(goto_statet const&, goto_symex_statet&)
     6.48%     2.55%  cbmc     cbmc                     [.] yyjsonlex(void*)
     6.43%     0.00%  cbmc     cbmc                     [.] goto_symex_statet::assignment(ssa_exprt, exprt const&, namespacet const&, bool, bool, bool)
     6.33%     0.00%  cbmc     cbmc                     [.] goto_symext::clean_expr(exprt, goto_symex_statet&, bool)
     6.19%     6.19%  cbmc     cbmc                     [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > co...
     6.10%     0.17%  cbmc     cbmc                     [.] build_identifier(exprt const&, dstringt const&, dstringt const&, dstringt const&)
     6.04%     0.00%  cbmc     cbmc                     [.] goto_symext::dereference(exprt&, goto_symex_statet&, bool)
     5.78%     3.59%  cbmc     cbmc                     [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::remove_ref(tree_nodet<irept, forward_list_as_mapt<dstringt, irept>, true>*)
